model_name,batch_size,sequence_length,background_memory_usage,model_memory_usage,memory_usage,kv_cache_mem,inference_time,inference_speed,is_oom
../pythia-160m-deduped,8,48,368,831,1762.0,1151.4375,8.163371086120605,46.059403159961285,False
../pythia-160m-deduped,16,48,368,831,3484.8936170212764,2302.875,10.974430561065674,68.52291750497685,False
../pythia-160m-deduped,24,48,368,831,5198.595744680851,3454.3125,14.151814937591553,79.70709092610353,False
../pythia-160m-deduped,32,48,368,831,6439.68085106383,4605.75,24.80512261390686,60.63263719393148,False
../pythia-160m-deduped,40,48,368,831,6790.893617021276,5757.1875,59.039050340652466,31.843330628668497,False
../pythia-160m-deduped,48,48,368,831,6220.510638297872,6908.625,72.1085295677185,31.286173959231093,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,8,48,181,853,624.6808510638298,383.8125,7.9850263595581055,47.0881351005093,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,16,48,181,853,1201.0,767.625,11.491883277893066,65.43749025424077,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,24,48,181,853,1777.0,1151.4375,15.152517318725586,74.44307610894526,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,32,48,181,853,2357.68085106383,1535.25,18.16962504386902,82.77551112742941,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,40,48,181,853,2934.31914893617,1919.0625,21.489811182022095,87.48331867954089,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,48,48,181,853,3496.9361702127662,2302.875,24.886797428131104,90.65047467497374,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,64,48,181,853,4647.723404255319,3070.5,30.928610801696777,97.2562272287696,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,80,48,181,853,5798.106382978724,3838.125,37.182496786117554,101.12284878630938,False
faridlazuarda/pythia-160m-gqa-48-b12-g2-v2,100,48,181,853,6726.106382978724,4797.65625,122.53196382522583,38.35733838971088,False
faridlazuarda/pythia-160m-mlkv-48-b12-g2-v9,8,48,230,863,610.0,383.8125,7.762024879455566,48.440968154481475,False
faridlazuarda/pythia-160m-mlkv-48-b12-g2-v9,16,48,230,863,1184.2978723404253,767.625,10.101111650466919,74.44725155228228,False
faridlazuarda/pythia-160m-mlkv-48-b12-g2-v9,24,48,230,863,1755.5319148936169,1151.4375,13.278048515319824,84.95224269579575,False
faridlazuarda/pythia-160m-mlkv-48-b12-g2-v9,32,48,230,863,2311.446808510638,1535.25,15.68295431137085,95.90029851132908,False
faridlazuarda/pythia-160m-mlkv-48-b12-g2-v9,40,48,230,863,2883.3617021276596,1919.0625,18.284833431243896,102.81745289446182,False
